Booth No,Exact Name in 2022 PDF (ਪਿੰਡ),Village / Polling Station (Resolved Punjabi),Polling Station Name (English),Jagroop Singh Sekhwan (AAP),Guriqbal Singh Mahal (SAD),Partap Singh Bajwa (INC),Baaki (Others),Total Votes Polled,Leading Candidate,Lead Margin
1,ਜੋਗੇਵਾਲ ਜੱਟਾਂ,ਜੋਗੇਵਾਲ ਜੱਟਾਂ,Jogewal Jattan,98,188,236,15,537,Partap Singh Bajwa (INC),48
2,ਛੋਟੇਪੁਰ,ਛੋਟੇਪੁਰ,Chhotepur,114,311,172,25,622,Guriqbal Singh Mahal (SAD),139
3,ਆਲੋਵਾਲ,ਆਲੋਵਾਲ,Alowal,105,165,176,32,478,Partap Singh Bajwa (INC),11
4,-DO-,ਆਲੋਵਾਲ,Alowal,122,119,178,39,458,Partap Singh Bajwa (INC),56
5,ਕੋਟ ਸੰਤੋਖ ਰਾਏ,ਕੋਟ ਸੰਤੋਖ ਰਾਏ,Kot Santokh Rai,166,251,188,20,625,Guriqbal Singh Mahal (SAD),63
6,-DO-,ਕੋਟ ਸੰਤੋਖ ਰਾਏ,Kot Santokh Rai,245,219,150,32,646,Jagroop Singh Sekhwan (AAP),26
7,ਥੇਹ ਤਿੱਖਾ,ਥੇਹ ਤਿੱਖਾ,Theh Tikha,235,211,178,48,672,Jagroop Singh Sekhwan (AAP),24
8,ਚੱਕ ਦੀਪੇਵਾਲ,ਚੱਕ ਦੀਪੇਵਾਲ,Chak Dipewal,125,147,334,14,620,Partap Singh Bajwa (INC),187
9,ਬੱਲ,ਬੱਲ,Bal,58,195,300,36,589,Partap Singh Bajwa (INC),105
10,-DO-,ਬੱਲ,Bal,76,229,329,14,648,Partap Singh Bajwa (INC),100
11,ਸੰਘਰ,ਸੰਘਰ,Sanghar,95,144,467,24,730,Partap Singh Bajwa (INC),323
12,ਅਖਲਾਸਪੁਰ,ਅਖਲਾਸਪੁਰ,Akhlaspur,25,152,226,15,418,Partap Singh Bajwa (INC),74
13,ਸਿੰਘਪੁਰਾ,ਸਿੰਘਪੁਰਾ,Singhpura,129,283,188,31,631,Guriqbal Singh Mahal (SAD),95
14,ਬਦੇਸ਼ਾਂ,ਬਦੇਸ਼ਾਂ,Badesh,127,203,139,22,491,Guriqbal Singh Mahal (SAD),64
15,ਸੰਧਵਾਂ,ਸੰਧਵਾਂ,Sandhwan,49,238,126,27,440,Guriqbal Singh Mahal (SAD),112
16,ਕਲਿਆਣਪੁਰ,ਕਲਿਆਣਪੁਰ,Kalayanpur,164,127,138,169,598,Jagroop Singh Sekhwan (AAP),26
17,-DO-,ਕਲਿਆਣਪੁਰ,Kalyanpur,229,221,168,119,737,Jagroop Singh Sekhwan (AAP),8
18,ਗੁਰਦਾਸ ਨੰਗਲ,ਗੁਰਦਾਸ ਨੰਗਲ,Gurdas Nangal,202,161,269,17,649,Partap Singh Bajwa (INC),67
19,-DO-,ਗੁਰਦਾਸ ਨੰਗਲ,Gurdas Nangal,281,288,214,25,808,Guriqbal Singh Mahal (SAD),7
20,-DO-,ਗੁਰਦਾਸ ਨੰਗਲ,Gurdas Nangal,139,326,120,27,612,Guriqbal Singh Mahal (SAD),187
21,ਜਾਪੂਵਾਲ,ਜਾਪੂਵਾਲ,Japuwal,85,106,173,17,381,Partap Singh Bajwa (INC),67
22,ਧਾਰੀਵਾਲ,ਧਾਰੀਵਾਲ,Dhariwal,106,99,122,26,353,Partap Singh Bajwa (INC),16
23,ਸੋਹਲ,ਸੋਹਲ,Sohal,130,399,272,55,856,Guriqbal Singh Mahal (SAD),127
24,-DO-,ਸੋਹਲ,Sohal,223,327,183,39,772,Guriqbal Singh Mahal (SAD),104
25,-DO-,ਸੋਹਲ,Sohal,212,239,229,49,729,Guriqbal Singh Mahal (SAD),10
26,-DO-,ਸੋਹਲ,Sohal,232,241,163,41,677,Guriqbal Singh Mahal (SAD),9
27,ਮਹਾਂਦੇਵ ਕਲਾਂ,ਮਹਾਂਦੇਵ ਕਲਾਂ,Mahadev Kalan,111,146,91,20,368,Guriqbal Singh Mahal (SAD),35
28,ਪੀਰ ਦੀ ਸੈਨ,ਪੀਰ ਦੀ ਸੈਨ,Pir Di Sain,16,194,148,4,362,Guriqbal Singh Mahal (SAD),46
29,ਤਰੀਜਾ ਨਗਰ,ਤਰੀਜਾ ਨਗਰ,Trija Nagar,178,283,293,24,778,Partap Singh Bajwa (INC),10
30,ਰਣੀਆਂ,ਰਣੀਆਂ,Ranian,127,224,196,23,570,Guriqbal Singh Mahal (SAD),28
31,ਰਣੀਆਂ,ਰਣੀਆਂ,Ranian,200,170,146,25,541,Jagroop Singh Sekhwan (AAP),30
32,ਰਣੀਆ,ਰਣੀਆ,Rania,193,321,177,34,725,Guriqbal Singh Mahal (SAD),128
33,ਧਾਰੀਵਾਲ,ਧਾਰੀਵਾਲ,Dhariwal,177,300,244,53,774,Guriqbal Singh Mahal (SAD),56
34,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,165,328,210,53,756,Guriqbal Singh Mahal (SAD),118
35,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,193,253,157,37,640,Guriqbal Singh Mahal (SAD),60
36,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,100,142,147,31,420,Partap Singh Bajwa (INC),5
37,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,150,247,162,40,599,Guriqbal Singh Mahal (SAD),85
