Booth No,Village / Polling Station (Punjabi),Polling Station Name (English),Amansher Singh Shery Kalsi (AAP),Sukhjinder Singh Randhawa (INC),Dr. Daljit Singh Cheema (SAD),Dinesh Singh Babbu (BJP),Gurinder Singh Bajwa (SAD-A),Baaki (Other Candidates),NOTA,Total Votes Polled,Leading Candidate,Lead Margin
1,ਜੋਗੇਵਾਲ ਜੱਟਾਂ,Jogewal Jattan,272,62,101,26,15,28,1,505,Amansher Singh Shery Kalsi (AAP),171
2,ਛੋਟੇਪੁਰ,Chhotepur,276,129,169,3,12,24,5,618,Amansher Singh Shery Kalsi (AAP),107
3,ਆਲੋਵਾਲ,Allowal,178,135,63,13,6,28,2,425,Amansher Singh Shery Kalsi (AAP),43
4,ਆਲੋਵਾਲ,Allowal,179,166,20,5,11,14,2,397,Amansher Singh Shery Kalsi (AAP),13
5,ਕੋਟ ਸੰਤੋਖ ਰਾਏ,Kot Santokh Rai,212,194,73,55,4,50,1,589,Amansher Singh Shery Kalsi (AAP),18
6,ਕੋਟ ਸੰਤੋਖ ਰਾਏ,Kot Santokh Rai,187,215,94,23,29,14,0,562,Sukhjinder Singh Randhawa (INC),28
7,ਖੇਹ ਤਿੱਖਾ + ਚੱਕ ਘਰੋਏ,Kheh Tikha + Chakk Gharoye,171,246,132,10,45,19,3,626,Sukhjinder Singh Randhawa (INC),75
8,ਚੱਕ ਦੀਪੇਵਾਲ + ਦੇਵੀਦਾਸਪੁਰ,Chakk Deepewal + Devidaspur,133,280,72,6,20,23,0,534,Sukhjinder Singh Randhawa (INC),147
9,ਬੱਲ,Bal,152,245,118,20,4,35,3,577,Sukhjinder Singh Randhawa (INC),93
10,ਬੱਲ,Bal,229,142,123,24,6,35,3,562,Amansher Singh Shery Kalsi (AAP),87
11,ਸੰਘਰ,Sanghar,128,509,22,12,9,36,4,720,Sukhjinder Singh Randhawa (INC),381
12,ਅਖਲਾਸਪੁਰ,Akhlaspur,97,159,19,120,0,13,1,409,Sukhjinder Singh Randhawa (INC),39
13,ਸਿੰਘਪੁਰਾ,Singhpura,196,120,142,4,96,41,5,604,Amansher Singh Shery Kalsi (AAP),54
14,ਬਦੇਸ਼ਾਂ,Badesh,117,166,87,9,51,21,2,453,Sukhjinder Singh Randhawa (INC),49
15,ਸੰਧਵਾਂ,Sandhwan,172,160,54,3,24,13,0,426,Amansher Singh Shery Kalsi (AAP),12
16,ਕਲਿਆਨਪੁਰ,Kalyanpur,146,228,52,19,25,71,1,542,Sukhjinder Singh Randhawa (INC),82
17,ਕਲਿਆਨਪੁਰ,Kalyanpur,180,297,98,18,38,113,5,749,Sukhjinder Singh Randhawa (INC),117
18,ਗੁਰਦਾਸ ਨੰਗਲ + ਬੜੀਆਵਾਲਾ,Gurdas Nangal + Badiyawala,217,244,36,23,9,23,4,556,Sukhjinder Singh Randhawa (INC),27
19,ਗੁਰਦਾਸ ਨੰਗਲ + ਬੜੀਆਵਾਲਾ,Gurdas Nangal + Badiyawala,236,295,38,37,32,37,1,676,Sukhjinder Singh Randhawa (INC),59
20,ਗੁਰਦਾਸ ਨੰਗਲ + ਬੜੀਆਵਾਲਾ,Gurdas Nangal + Badiyawala,172,193,65,28,25,13,2,498,Sukhjinder Singh Randhawa (INC),21
21,ਜਾਪੂਵਾਲ,Japuwal,81,170,47,47,1,3,0,349,Sukhjinder Singh Randhawa (INC),89
22,ਧਾਰੀਵਾਲ,Dhariwal,181,84,12,14,19,17,0,327,Amansher Singh Shery Kalsi (AAP),97
23,ਸੋਹਲ,Sohal,172,332,141,19,26,45,3,738,Sukhjinder Singh Randhawa (INC),160
24,ਸੋਹਲ,Sohal,121,237,154,34,32,46,3,627,Sukhjinder Singh Randhawa (INC),83
25,ਸੋਹਲ,Sohal,150,269,131,37,33,26,2,648,Sukhjinder Singh Randhawa (INC),119
26,ਸੋਹਲ,Sohal,126,235,124,11,23,44,2,565,Sukhjinder Singh Randhawa (INC),109
27,ਮਹਾਂਦੇਵ ਕਲਾਂ,Mahandev Kalan,122,110,48,4,37,13,1,335,Amansher Singh Shery Kalsi (AAP),12
